Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",69.900000,-101.400000,180.000000,top
"C3","4.7nF","C_0402_1005Metric",56.900000,-101.200000,90.000000,top
"C5","22uF","C_1206_3216Metric",62.230000,-91.440000,90.000000,top
"C6","22uF","C_1206_3216Metric",62.700000,-96.900000,-90.000000,top
"C13","22uF","C_1206_3216Metric",63.400000,-110.800000,-90.000000,top
"C15","22uF","C_1206_3216Metric",76.700000,-103.600000,45.000000,top
"C17","1uF","C_0402_1005Metric",54.300000,-89.700000,90.000000,top
"C22","22uF","C_1206_3216Metric",57.300000,-86.400000,180.000000,top
"C23","22uF","C_1206_3216Metric",57.300000,-89.800000,180.000000,top
"C49","100nF","C_0402_1005Metric",71.400000,-97.000000,-90.000000,top
"C50","100nF","C_0402_1005Metric",100.000000,-67.500000,0.000000,top
"C60","100nF","C_0402_1005Metric",117.000000,-81.000000,0.000000,top
"C140","100nF","C_0402_1005Metric",94.000000,-68.000000,90.000000,top
"C141","100nF","C_0402_1005Metric",95.000000,-68.000000,90.000000,top
"C142","100nF","C_0402_1005Metric",92.000000,-68.000000,90.000000,top
"C143","100nF","C_0402_1005Metric",91.000000,-68.000000,90.000000,top
"D1","GLED","LED_0603_1608Metric",50.000000,-101.500000,-90.000000,top
"D2","GLED","LED_0603_1608Metric",51.000000,-83.250000,-90.000000,top
"D3","GLED","LED_0603_1608Metric",50.000000,-105.250000,90.000000,top
"D6","GLED","LED_0603_1608Metric",49.250000,-83.250000,-90.000000,top
"D7","RLED","LED_0603_1608Metric",60.500000,-53.000000,-90.000000,top
"D8","RLED","LED_0603_1608Metric",62.500000,-53.000000,-90.000000,top
"D9","RLED","LED_0603_1608Metric",64.500000,-53.000000,-90.000000,top
"D10","RLED","LED_0603_1608Metric",66.500000,-53.000000,-90.000000,top
"D11","RLED","LED_0603_1608Metric",68.500000,-53.000000,-90.000000,top
"D12","RLED","LED_0603_1608Metric",70.500000,-53.000000,-90.000000,top
"D13","RLED","LED_0603_1608Metric",72.500000,-53.000000,-90.000000,top
"D14","RLED","LED_0603_1608Metric",74.500000,-53.000000,-90.000000,top
"J3","B2B_TX","PinSocket_1x04_P2.54mm_Vertical",98.800000,-52.025000,-90.000000,top
"J4","B2B_RX","PinSocket_1x04_P2.54mm_Vertical",86.990000,-52.025000,-90.000000,top
"J5","UART","PinHeader_1x03_P2.54mm_Vertical",57.000000,-76.000000,0.000000,top
"J6","I2C_LINK","PinHeader_2x02_P2.54mm_Vertical",57.475000,-108.475000,0.000000,top
"J7","1V_EN","PinHeader_1x02_P2.54mm_Vertical",53.750000,-108.470000,0.000000,top
"JP2","JTAG","PinHeader_1x06_P2.54mm_Vertical",103.150000,-63.250000,90.000000,top
"Q3","BSS138","SOT-23",50.000000,-111.000000,90.000000,top
"R2","4K7","R_0402_1005Metric",71.000000,-85.500000,180.000000,top
"R3","4K7","R_0402_1005Metric",71.000000,-87.000000,180.000000,top
"R4","4K7","R_0402_1005Metric",71.000000,-84.000000,180.000000,top
"R5","4K7","R_0402_1005Metric",72.000000,-93.500000,-90.000000,top
"R9","4K7","R_0402_1005Metric",60.000000,-75.000000,-90.000000,top
"R10","4K7","R_0402_1005Metric",60.000000,-80.000000,90.000000,top
"R13","15K","R_0402_1005Metric",59.200000,-103.800000,0.000000,top
"R14","3K","R_0402_1005Metric",56.900000,-103.800000,0.000000,top
"R15","15K","R_0402_1005Metric",54.490000,-102.750000,0.000000,top
"R16","3K","R_0402_1005Metric",52.500000,-102.750000,0.000000,top
"R17","15K","R_0402_1005Metric",55.000000,-100.000000,180.000000,top
"R21","4K7","R_0402_1005Metric",51.000000,-78.750000,90.000000,top
"R22","4K7","R_0402_1005Metric",50.000000,-108.000000,-90.000000,top
"R23","15K","R_0402_1005Metric",55.800000,-106.000000,180.000000,top
"R24","3K","R_0402_1005Metric",57.800000,-106.000000,180.000000,top
"R25","4K7","R_0402_1005Metric",49.250000,-78.750000,90.000000,top
"U1","XC7K160T-FFG676","Xilinx_FFG676",87.500000,-85.500000,180.000000,top
"U2","MT47H64M8SH","FBGA-60_L10.0-W8.0-P0.80-TL_MICRON_MT47H64M8SH",111.000000,-77.000000,0.000000,top
"U3","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",67.500000,-93.000000,-90.000000,top
"U6","TPD4E02B04DQAR","USON-10_L2.5-W1.0-P0.50-BL",95.000000,-59.000000,0.000000,top
"U7","TPD4E02B04DQAR","USON-10_L2.5-W1.0-P0.50-BL",83.000000,-59.000000,0.000000,top
"U8","MPM54304GMN-0000","LGA7x7x2_MNP",68.750000,-106.000000,0.000000,top
"U9","MPM3683GQN-7-P","MPM3683GQN-7",56.500000,-95.000000,180.000000,top
